sep=;
Instancia;Jobs;Maquinas;Makespan LPT;Makespan SPT;Makespan MWKR;Melhor
ta65Jsp.psi;50;20;28667;26008;4536;MWKR 
ta66Jsp.psi;50;20;29274;25369;4972;MWKR 
ta67Jsp.psi;50;20;28128;26062;4906;MWKR 
ta68Jsp.psi;50;20;30145;27704;4539;MWKR 
ta69Jsp.psi;50;20;29356;27637;4706;MWKR 
ta70Jsp.psi;50;20;30468;25178;5101;MWKR 
ta71Jsp.psi;100;20;56844;55432;8021;MWKR 
ta72Jsp.psi;100;20;56433;51518;7686;MWKR 
ta73Jsp.psi;100;20;56426;54116;8170;MWKR 
ta74Jsp.psi;100;20;60924;52803;8034;MWKR 
ta75Jsp.psi;100;20;58780;55639;8433;MWKR 
ta76Jsp.psi;100;20;58002;54651;7980;MWKR 
ta77Jsp.psi;100;20;58459;53702;8304;MWKR 
ta78Jsp.psi;100;20;53869;51786;7829;MWKR 
ta79Jsp.psi;100;20;55043;52472;7814;MWKR 
ta80Jsp.psi;100;20;56559;49708;7871;MWKR 
yn1Jsp.psi;20;20;7336;6784;1256;MWKR 
yn2Jsp.psi;20;20;6990;7140;1393;MWKR 
yn3Jsp.psi;20;20;7077;6791;1383;MWKR 
yn4Jsp.psi;20;20;6934;7113;1536;MWKR 
